director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Dennie Gordon,Mary-Kate Olsen,Riley Smith,Riley Smith,Comedy Crime Family Romance,new york minute
Charles Shyer,Omar Epps,Jane Krakowski,Jane Krakowski,Comedy Drama Romance,alfie
Ken Kwapis,Ted Danson,Andrew Daly,Andrew Daly,Biography Drama Romance,big miracle
Ulu Grosbard,Alexa PenaVega,Jonathan Jackson,Jonathan Jackson,Drama,the deep end of the ocean
William Malone,Natascha McElhone,Udo Kier,Udo Kier,Crime Horror Thriller,feardotcom
Paul Weitz,Josh Hutcherson,Patrick Fugit,Patrick Fugit,Action Adventure Fantasy Thriller,cirque du freak: the vampire's assistant
Paul McGuigan,Daniel Radcliffe,Daniel Mays,Daniel Mays,Drama Horror Sci-Fi Thriller,victor frankenstein
Danny DeVito,Justin Theroux,Harvey Fierstein,Harvey Fierstein,Comedy,duplex
Malcolm D. Lee,Bernie Mac,Mike Epps,Mike Epps,Comedy Drama Music,soul men
Jerry Jameson,M. Emmet Walsh,Anne Archer,Anne Archer,Action Adventure Drama Thriller,raise the titanic
Mic Rodgers,Michael Jai White,Xander Berkeley,Xander Berkeley,Action Sci-Fi,universal soldier: the return
Christian Alvart,Norman Reedus,Eddie Rouse,Eddie Rouse,Action Horror Mystery Sci-Fi Thriller,pandorum
Gary Fleder,Gary Dourdan,Tim Guinee,Tim Guinee,Drama Mystery Sci-Fi Thriller,impostor
Christian Duguay,Rufus Sewell,Rupert Graves,Rupert Graves,Action Adventure Thriller,extreme ops
Jean-Marie Poiré,Bridgette Wilson-Sampras,John Aylward,John Aylward,Comedy Fantasy Sci-Fi,just visiting
Danny Boyle,Chris Evans,Troy Garity,Troy Garity,Adventure Sci-Fi Thriller,sunshine
Brian Robbins,John Gatins,Greg Collins,Greg Collins,Comedy Drama,a thousand words
Marc F. Adler,Eric Idle,Kelly Ripa,Kelly Ripa,Adventure Animation Comedy Fantasy Romance,delgo
Pierre Morel,Ray Winstone,Jasmine Trinca,Jasmine Trinca,Action Crime Drama Mystery Thriller,the gunman
Geoffrey Sax,Alex Pettyfer,Ashley Walters,Ashley Walters,Action Adventure Family Thriller,alex rider: operation stormbreaker
D.J. Caruso,Sarah Roemer,Jose Pablo Cantillo,Jose Pablo Cantillo,Drama Mystery Thriller,disturbia
Iain Softley,Angelina Jolie Pitt,Lorraine Bracco,Lorraine Bracco,Comedy Crime Drama Thriller,hackers
Richard Shepard,James Brolin,Ljubomir Kerekes,Ljubomir Kerekes,Adventure Comedy Drama Romance Thriller War,the hunting party
Joel Coen,Jennifer Jason Leigh,John Mahoney,John Mahoney,Comedy Fantasy,the hudsucker proxy
Peter Ho-Sun Chan,Jet Li,Andy Lau,Andy Lau,Action Drama History Romance War,the warlords
Sergey Bodrov,Jay Hernandez,Jason Scott Lee,Jason Scott Lee,Drama History War,nomad: the warrior
Joon-ho Bong,Chris Evans,Kang-ho Song,Kang-ho Song,Action Drama Sci-Fi Thriller,snowpiercer
Bibo Bergeron,Adam Goldberg,François Cluzet,François Cluzet,Adventure Animation Comedy Fantasy Music Romance,a monster in paris
Jeff Nathanson,Matthew Broderick,Tim Blake Nelson,Tim Blake Nelson,Comedy,the last shot
Alex Proyas,Michael Wincott,David Patrick Kelly,David Patrick Kelly,Action Drama Fantasy,the crow
S.S. Rajamouli,Tamannaah Bhatia,Prabhas,Prabhas,Action Adventure Drama Fantasy War,baahubali: the beginning
Robert Schwentke,Arliss Howard,Michelle Nolden,Michelle Nolden,Drama Fantasy Romance Sci-Fi,the time traveler's wife
Michael Lehmann,Colin Ferguson,Tom Everett Scott,Tom Everett Scott,Comedy Romance,because i said so
Rob Cohen,Paul Walker,Jordana Brewster,Jordana Brewster,Action Crime Thriller,the fast and the furious
Tim Burton,Martin Landau,Atticus Shaffer,Atticus Shaffer,Animation Comedy Family Horror Sci-Fi,frankenweenie
Joss Whedon,Adam Baldwin,Michael Hitchcock,Michael Hitchcock,Action Adventure Sci-Fi Thriller,serenity
Charles S. Dutton,Omar Epps,Tim Daly,Tim Daly,Biography Drama Romance Sport,against the ropes
Richard Lester,Margot Kidder,Jackie Cooper,Jackie Cooper,Action Comedy Sci-Fi,superman iii
Peter Segal,Robert De Niro,Oscar Gale,Oscar Gale,Comedy Sport,grudge match
John Woo,Takeshi Kaneshiro,Wei Zhao,Wei Zhao,Action Adventure Drama History War,red cliff
Andy Tennant,Ethan Embry,Courtney Gains,Courtney Gains,Comedy Romance,sweet home alabama
Robert Luketic,Gerard Butler,Eric Winter,Eric Winter,Comedy Romance,the ugly truth
Jonathan Lynn,Austin Pendleton,Max Casella,Max Casella,Comedy,sgt. bilko
Robert Rodriguez,Steve Buscemi,Emily Osment,Emily Osment,Action Adventure Comedy Family Sci-Fi,spy kids 2: island of lost dreams
David Carson,LeVar Burton,Jonathan Frakes,Jonathan Frakes,Action Adventure Mystery Sci-Fi Thriller,star trek: generations
Kar-Wai Wong,Tony Chiu Wai Leung,Elvis Tsui,Elvis Tsui,Action Biography Drama,the grandmaster
Francis Lawrence,Robert Pattinson,James Frain,James Frain,Drama Romance,water for elephants
unknown,Joseph Gordon-Levitt,Kristen Johnston,Kristen Johnston,Comedy Family Sci-Fi,3rd rock from the sun            
Yuefeng Song,Blythe Auffarth,Jiao Xu,Jiao Xu,Adventure Animation Family Fantasy,dragon nest: warriors' dawn
Norman Jewison,Denzel Washington,Deborah Kara Unger,Deborah Kara Unger,Biography Drama Sport,the hurricane
Michael Apted,Bill Cobbs,Billy Campbell,Billy Campbell,Crime Drama Thriller,enough
David Mirkin,Sarah Silverman,Jeffrey Jones,Jeffrey Jones,Comedy Crime Romance,heartbreakers
Andy Fickman,D.B. Woodside,Eduardo Verástegui,Eduardo Verástegui,Action Comedy Crime,paul blart: mall cop 2
Luis Mandoki,Sonia Braga,Kari Matchett,Kari Matchett,Drama Romance,angel eyes
John Pasquin,Jim Belushi,Kelly Lynch,Kelly Lynch,Comedy Drama,joe somebody
Roman Polanski,Johnny Depp,Lena Olin,Lena Olin,Mystery Thriller,the ninth gate
Michael Apted,J.K. Simmons,Bill Nunn,Bill Nunn,Crime Drama Mystery Thriller,extreme measures
Stephen Herek,Beth Grant,Matthew Glave,Matthew Glave,Drama Music,rock star
Lee Daniels,Mo'Nique,Mariah Carey,Mariah Carey,Drama,precious
Ridley Scott,Jeff Bridges,Ethan Embry,Ethan Embry,Adventure Drama,white squall
John Carpenter,Wilford Brimley,David Clennon,David Clennon,Horror Mystery Sci-Fi,the thing
David Twohy,Vin Diesel,Bokeem Woodbine,Bokeem Woodbine,Action Sci-Fi Thriller,riddick
Jeb Stuart,Gregory Scott Cummins,Ted Markland,Ted Markland,Crime Mystery Thriller,switchback
Steve Miner,Tom Skerritt,Leonor Varela,Leonor Varela,Action Adventure Drama Thriller Western,texas rangers
Gil Kenan,Bill Murray,Harry Treadaway,Harry Treadaway,Adventure Family Fantasy Sci-Fi,city of ember
Paul Thomas Anderson,Mike Howard,Bruce Goodchild,Bruce Goodchild,Drama,the master
David Leland,Hayden Christensen,David Walliams,David Walliams,Adventure Comedy History Romance,virgin territory
Gary Fleder,Dennis Quaid,Charles S. Dutton,Charles S. Dutton,Biography Drama Sport,the express
J Blakeson,Chloë Grace Moretz,Nick Robinson,Nick Robinson,Action Adventure Sci-Fi Thriller,the 5th wave
Ryan Coogler,Sylvester Stallone,Graham McTavish,Graham McTavish,Drama Sport,creed
Ben Affleck,Jeremy Renner,Owen Burke,Owen Burke,Crime Drama Thriller,the town
Kirk Jones,Anna Kendrick,Thomas Lennon,Thomas Lennon,Comedy Drama Romance,what to expect when you're expecting
Ethan Coen,J.K. Simmons,Kevin Sussman,Kevin Sussman,Comedy Drama,burn after reading
Jennifer Flackett,Gerard Butler,Christopher James Baker,Christopher James Baker,Adventure Comedy Family Fantasy,nim's island
Ron Howard,Chris Hemsworth,Alexandra Maria Lara,Alexandra Maria Lara,Action Biography Drama Sport,rush
Paul Thomas Anderson,Patton Oswalt,Jim Meskimen,Jim Meskimen,Drama,magnolia
Kevin Smith,Bruce Willis,Kevin Pollak,Kevin Pollak,Action Comedy Crime,cop out
Christian Ditter,Alison Brie,Nicholas Braun,Nicholas Braun,Comedy Romance,how to be single
Charles Martin Smith,Morgan Freeman,Harry Connick Jr.,Harry Connick Jr.,Drama Family,dolphin tale
Catherine Hardwicke,Kristen Stewart,Anna Kendrick,Anna Kendrick,Drama Fantasy Romance,twilight
Nick Cassavetes,Denzel Washington,Anne Heche,Anne Heche,Crime Drama Thriller,john q
Les Mayfield,Peter Greene,Tamala Jones,Tamala Jones,Action Comedy Crime Thriller,blue streak
Rawson Marshall Thurber,Laura-Leigh,Thomas Lennon,Thomas Lennon,Comedy Crime,we're the millers
Fedor Bondarchuk,Yuliya Snigir,Aleksey Serebryakov,Aleksey Serebryakov,Action Adventure Sci-Fi,obitaemyy ostrov
Jonathan Mostow,Kathleen Quinlan,J.T. Walsh,J.T. Walsh,Action Crime Drama Mystery Thriller,breakdown
Irvin Kershner,Bernie Casey,Barbara Carrera,Barbara Carrera,Action Adventure Thriller,never say never again
Steve Pink,Charlie McDermott,Crystal Lowe,Crystal Lowe,Comedy Sci-Fi,hot tub time machine
Charles Martin Smith,Morgan Freeman,Harry Connick Jr.,Harry Connick Jr.,Drama Family,dolphin tale 2
John Frankenheimer,Charlize Theron,Clarence Williams III,Clarence Williams III,Action Adventure Crime Drama Family Fantasy Romance Thriller,reindeer games
F. Gary Gray,Vin Diesel,Larenz Tate,Larenz Tate,Action Crime Drama Thriller,a man apart
Cameron Crowe,Emma Stone,Bill Murray,Bill Murray,Comedy Drama Romance,aloha
Rob Reiner,Alexa PenaVega,Craig T. Nelson,Craig T. Nelson,Drama History,ghosts of mississippi
Scott Hicks,Rick Yune,Daniel von Bargen,Daniel von Bargen,Drama Mystery Romance Thriller,snow falling on cedars
Mikael Håfström,Anthony Hopkins,Toby Jones,Toby Jones,Drama Horror Mystery Thriller,the rite
Andrew Niccol,Blair Underwood,Mason Gamble,Mason Gamble,Drama Sci-Fi Thriller,gattaca
Andrew Bergman,Stockard Channing,John Larroquette,John Larroquette,Biography Comedy Romance,isn't she great
Kirk De Micco,Cheryl Hines,Omid Abtahi,Omid Abtahi,Adventure Animation Comedy Family Sci-Fi,space chimps
Chris Rock,Bernie Mac,Tracy Morgan,Tracy Morgan,Comedy,head of state
Todd Phillips,Bradley Cooper,Mike Epps,Mike Epps,Comedy,the hangover
Wilson Yip,Mike Tyson,Kwok-Kwan Chan,Kwok-Kwan Chan,Action Biography Drama History,ip man 3
Jay Roach,Muse Watson,Robert Wagner,Robert Wagner,Action Adventure Comedy Crime,austin powers: the spy who shagged me
Tim Burton,Michael Gough,William Hootkins,William Hootkins,Action Adventure,batman
Roland Joffé,Jordi Mollà,Lily Cole,Lily Cole,Biography Drama War,there be dragons
Richard Donner,Rene Russo,Stuart Wilson,Stuart Wilson,Action Crime Thriller,lethal weapon 3
John Lee Hancock,Catherine Dyer,Kim Dickens,Kim Dickens,Biography Drama Sport,the blind side
unknown,Jon Foo,Wendie Malick,Wendie Malick,Action Comedy Crime,rush hour            
Robert Rodriguez,Alexa PenaVega,Daryl Sabara,Daryl Sabara,Action Adventure Comedy Family Sci-Fi,spy kids
Seth Gordon,Kevin Spacey,Reginald Ballard,Reginald Ballard,Comedy Crime,horrible bosses
Ethan Coen,Matt Damon,Bruce Green,Bruce Green,Adventure Drama Western,true grit
David Frankel,Meryl Streep,Rebecca Mader,Rebecca Mader,Comedy Drama Romance,the devil wears prada
Robert Wise,Leonard Nimoy,Walter Koenig,Walter Koenig,Adventure Mystery Sci-Fi,star trek: the motion picture
Seth Gordon,Jon Favreau,T.I.,T.I.,Comedy Crime,identity thief
Martin Scorsese,Robert De Niro,Joe Don Baker,Joe Don Baker,Crime Thriller,cape fear
Robert Luketic,Kevin Spacey,Josh Gad,Josh Gad,Crime Drama Thriller,21
Judd Apatow,Amy Schumer,Josh Segarra,Josh Segarra,Comedy Romance,trainwreck
Kevin Rodney Sullivan,Bernie Mac,Sherri Shepherd,Sherri Shepherd,Comedy Romance,guess who
Anthony Minghella,Colin Firth,Jürgen Prochnow,Jürgen Prochnow,Drama Romance War,the english patient
Curtis Hanson,Kevin Spacey,Paul Guilfoyle,Paul Guilfoyle,Crime Drama Mystery Thriller,l.a. confidential
Mike Mitchell,Michael Angarano,Nicholas Braun,Nicholas Braun,Adventure Comedy Family Sci-Fi,sky high
Frank Oz,Tom Selleck,Lauren Ambrose,Lauren Ambrose,Comedy,in & out
Roger Donaldson,Natasha Henstridge,Jordan Lund,Jordan Lund,Action Horror Sci-Fi Thriller,species
Wes Craven,Johnny Depp,Amanda Wyss,Amanda Wyss,Horror,a nightmare on elm street
Tarsem Singh,Dylan Baker,James Gammon,James Gammon,Horror Sci-Fi Thriller,the cell
Randall Wallace,Leonardo DiCaprio,Judith Godrèche,Judith Godrèche,Action Adventure,the man in the iron mask
Randall Wallace,Scott Glenn,Dylan Walsh,Dylan Walsh,Biography Drama Family History Sport,secretariat
Kevin Munroe,Chris Evans,Mako,Mako,Action Adventure Animation Comedy Family Fantasy Sci-Fi,tmnt
Michael Tollin,Alfre Woodard,Debra Winger,Debra Winger,Biography Drama Sport,radio
Will Gluck,Mila Kunis,Masi Oka,Masi Oka,Comedy Romance,friends with benefits
Nicholas Stoller,Chloë Grace Moretz,Kiersey Clemons,Kiersey Clemons,Comedy,neighbors 2: sorority rising
John Lee Hancock,Tom Hanks,B.J. Novak,B.J. Novak,Biography Comedy Drama History Music,saving mr. banks
Spike Lee,Denzel Washington,Al Freeman Jr.,Al Freeman Jr.,Biography Drama History Romance,malcolm x
Judd Apatow,Charlyne Yi,Mackenzie Aladjem,Mackenzie Aladjem,Comedy,this is 40
Walt Becker,Robin Williams,Ann-Margret,Ann-Margret,Comedy Family,old dogs
Patrick Tatopoulos,Craig Parker,Steven Mackintosh,Steven Mackintosh,Action Adventure Fantasy Sci-Fi Thriller,underworld: rise of the lycans
Ken Kwapis,Robin Williams,Mindy Kaling,Mindy Kaling,Comedy Romance,license to wed
Dennis Dugan,Jon Lovitz,Tim Meadows,Tim Meadows,Comedy Romance Sport,the benchwarmers
Gary David Goldberg,Stockard Channing,Elizabeth Perkins,Elizabeth Perkins,Comedy Romance,must love dogs
Mike Newell,Johnny Depp,Anne Heche,Anne Heche,Biography Crime Drama,donnie brasco
Paul W.S. Anderson,Milla Jovovich,Colin Salmon,Colin Salmon,Action Horror Sci-Fi,resident evil
Tobe Hooper,Heather O'Rourke,Craig T. Nelson,Craig T. Nelson,Fantasy Horror,poltergeist
Ethan Coen,J.K. Simmons,Stephen Root,Stephen Root,Comedy Crime Thriller,the ladykillers
John Moore,Mila Kunis,Jamie Hector,Jamie Hector,Action Crime Drama Mystery Thriller,max payne
Andrew Niccol,Matt Bomer,Justin Timberlake,Justin Timberlake,Action Sci-Fi Thriller,in time
Alan Poul,Danneel Ackles,Tom Bosley,Tom Bosley,Comedy Romance,the back-up plan
Luke Greenfield,Ashley Williams,Kirsten Day,Kirsten Day,Comedy Drama Romance,something borrowed
unknown,Jodi Lyn O'Keefe,Logan Browning,Logan Browning,Drama Romance,hit the floor            
Gil Junger,Tom Wilkinson,Vincent Regan,Vincent Regan,Adventure Comedy Fantasy,black knight
Michael Ritchie,Tatum O'Neal,Joyce Van Patten,Joyce Van Patten,Comedy Drama Family Sport,the bad news bears
Steven E. de Souza,Ming-Na Wen,Kylie Minogue,Kylie Minogue,Action Adventure Comedy Thriller,street fighter
Roman Polanski,Emilia Fox,Ed Stoppard,Ed Stoppard,Biography Drama War,the pianist
Albert Hughes,Johnny Depp,Ian Richardson,Ian Richardson,Horror Mystery Thriller,from hell
Catherine Hardwicke,Keisha Castle-Hughes,Shaun Toub,Shaun Toub,Drama Family Fantasy,the nativity story
Jaume Collet-Serra,Robert Ri'chard,Brian Van Holt,Brian Van Holt,Horror,house of wax
Mike Nichols,Natalie Portman,Colin Stinton,Colin Stinton,Drama Romance,closer
Clint Eastwood,Leonardo DiCaprio,Kaitlyn Dever,Kaitlyn Dever,Biography Crime Drama,j. edgar
Alexandre Aja,Jason Flemyng,Julian Glover,Julian Glover,Horror Mystery,mirrors
Michael Rymer,Aaliyah,Bruce Spence,Bruce Spence,Drama Fantasy Horror,queen of the damned
Stephen Hopkins,Adam Baldwin,Kevin Peter Hall,Kevin Peter Hall,Action Horror Sci-Fi,predator 2
Gregory Hoblit,Billy Burke,Joseph Cross,Joseph Cross,Crime Drama Thriller,untraceable
Hugh Wilson,Brendan Fraser,Douglas Smith,Douglas Smith,Comedy Drama Romance Sci-Fi,blast from the past
Mike Hodges,Brian Blessed,Sam J. Jones,Sam J. Jones,Action Adventure Sci-Fi,flash gordon
Kevin Smith,Stephen Root,George Carlin,George Carlin,Comedy Drama Romance,jersey girl
Rob Cohen,Cicely Tyson,Carmen Ejogo,Carmen Ejogo,Action Crime Mystery Thriller,alex cross
Clint Eastwood,Kevin Spacey,Leon Rippy,Leon Rippy,Crime Drama Mystery Thriller,midnight in the garden of good and evil
Scott Mann,Robert De Niro,D.B. Sweeney,D.B. Sweeney,Action Crime Thriller,heist
Susanna White,Daniel Mays,Eros Vlahos,Eros Vlahos,Comedy Family Fantasy,nanny mcphee returns
Danny DeVito,Frank Whaley,Paul Guilfoyle,Paul Guilfoyle,Biography Crime Drama,hoffa
Chris Carter,Mitch Pileggi,Nicki Aycox,Nicki Aycox,Drama Mystery Sci-Fi Thriller,the x files: i want to believe
Tommy O'Haver,Anne Hathaway,Joanna Lumley,Joanna Lumley,Comedy Family Fantasy Romance,ella enchanted
Peter Landesman,Will Smith,Albert Brooks,Albert Brooks,Biography Drama Sport,concussion
John Singleton,Ken Arnold,Richard Cetrone,Richard Cetrone,Action Mystery Thriller,abduction
Gary Chapman,Jim Broadbent,Pip Torrens,Pip Torrens,Adventure Animation Comedy Family War,valiant
Curtis Hanson,Robert Downey Jr.,Richard Thomas,Richard Thomas,Comedy Drama,wonder boys
Craig Mazin,Drake Bell,Marion Ross,Marion Ross,Action Comedy Sci-Fi Thriller,superhero movie
Allen Hughes,Alona Tal,Michael Beach,Michael Beach,Crime Drama Thriller,broken city
Wes Craven,Shannon Elizabeth,Derek Mears,Derek Mears,Comedy Horror,cursed
David Koepp,Joseph Gordon-Levitt,Aasif Mandvi,Aasif Mandvi,Action Crime Thriller,premium rush
Anne Fletcher,Jim Gaffigan,Michael Mosley,Michael Mosley,Action Comedy Crime,hot pursuit
Shekhar Kapur,Djimon Hounsou,Alex Jennings,Alex Jennings,Adventure Drama Romance War,the four feathers
Taylor Hackford,Jason Statham,Wendell Pierce,Wendell Pierce,Action Crime Romance Thriller,parker
Richard Loncraine,Kirsten Dunst,Austin Nichols,Austin Nichols,Comedy Romance Sport,wimbledon
Roger Kumble,Brendan Fraser,Matt Prokop,Matt Prokop,Comedy Family,furry vengeance
Kimble Rendall,Alex Russell,Richard Brancatisano,Richard Brancatisano,Action Horror Sci-Fi,bait
Peter Yates,Liam Neeson,Lysette Anthony,Lysette Anthony,Action Adventure Fantasy,krull
Robert Redford,Meryl Streep,Andrew Garfield,Andrew Garfield,Drama Thriller War,lions for lambs
John Milius,Rosanna Arquette,Christopher Rich,Christopher Rich,Action Drama Thriller War,flight of the intruder
Jake Kasdan,Tim Meadows,Matt Price,Matt Price,Comedy Music,walk hard: the dewey cox story
Lasse Hallström,Kevin Spacey,Jason Behr,Jason Behr,Drama,the shipping news
Les Mayfield,Gregory Smith,Harris Yulin,Harris Yulin,Action Western,american outlaws
Jean-Marc Vallée,Michiel Huisman,Thomas Kretschmann,Thomas Kretschmann,Biography Drama History Romance,the young victoria
Dominic Sena,Tom Skerritt,Shawn Doyle,Shawn Doyle,Action Crime Mystery Thriller,whiteout
Terrence Malick,Brad Pitt,Fiona Shaw,Fiona Shaw,Drama Fantasy,the tree of life
Hark Tsui,Paul Sorvino,Ray Nicholas,Ray Nicholas,Action Comedy Thriller,knock off
David Ayer,Mireille Enos,Maurice Compte,Maurice Compte,Action Crime Drama Thriller,sabotage
Brian Helgeland,Heath Ledger,Benno Fürmann,Benno Fürmann,Action Mystery Thriller,the order
Lexi Alexander,Julie Benz,Colin Salmon,Colin Salmon,Action Crime Drama Thriller,punisher: war zone
Peter Hewitt,Kevin Zegers,Thomas F. Wilson,Thomas F. Wilson,Action Adventure Family Sci-Fi,zoom
Robert Zemeckis,Joseph Gordon-Levitt,Jade Kindar-Martin,Jade Kindar-Martin,Adventure Biography Drama Thriller,the walk
Ronny Yu,Marley Shelton,Angus Macfadyen,Angus Macfadyen,Action Adventure Fantasy,warriors of virtue
Ridley Scott,Archie Panjabi,Richard Coyle,Richard Coyle,Comedy Drama Romance,a good year
unknown,Ruth Wilson,Warren Brown,Warren Brown,Crime Drama Mystery Thriller,luther            
Richard Donner,Adam Baldwin,John Heard,John Heard,Drama,radio flyer
Taylor Hackford,Delroy Lindo,Raymond Cruz,Raymond Cruz,Crime Drama,"blood in, blood out"
Bille August,Jim Broadbent,Julia Ormond,Julia Ormond,Action Drama Sci-Fi Thriller,smilla's sense of snow
Brian De Palma,Peter Coyote,Rie Rasmussen,Rie Rasmussen,Crime Drama Mystery Thriller,femme fatale
Moustapha Akkad,Oliver Reed,John Gielgud,John Gielgud,Biography Drama History War,lion of the desert
Jean-Paul Rappeneau,Olivier Martinez,Isabelle Carré,Isabelle Carré,Adventure Drama Romance War,the horseman on the roof
Ang Lee,Jeremy W. Auman,Tobey Maguire,Tobey Maguire,Drama Romance War Western,ride with the devil
Alejandro G. Iñárritu,Maricel Álvarez,Eduard Fernández,Eduard Fernández,Drama,biutiful
Roland Joffé,Tamsin Egerton,Bipasha Basu,Bipasha Basu,Action Adventure Romance Sci-Fi,the lovers
Joachim Rønning,Salma Hayek,Dwight Yoakam,Dwight Yoakam,Action Comedy Crime Western,bandidas
Tony Kaye,Bill Cobbs,Beverly D'Angelo,Beverly D'Angelo,Crime Drama,black water transit
Wes Ball,Ki Hong Lee,Jacob Latimore,Jacob Latimore,Action Mystery Sci-Fi Thriller,the maze runner
Ken Scott,Tom Wilkinson,Melissa McMeekin,Melissa McMeekin,Comedy,unfinished business
Martin Scorsese,Richard E. Grant,Stuart Wilson,Stuart Wilson,Drama Romance,the age of innocence
Darren Aronofsky,Hugh Jackman,Mark Margolis,Mark Margolis,Drama Sci-Fi,the fountain
Hugh Johnson,David Paymer,Hudson Leick,Hudson Leick,Action Adventure Comedy Drama Thriller,chill factor
Simon West,Nicolas Cage,Sami Gayle,Sami Gayle,Action Crime Drama Thriller,stolen
Hayao Miyazaki,Rumi Hiiragi,Yuria Nara,Yuria Nara,Adventure Animation Family Fantasy,ponyo
George Tillman Jr.,Tiago Riani,Hayley Lovitt,Hayley Lovitt,Drama Romance,the longest ride
Rand Ravich,Johnny Depp,Clea DuVall,Clea DuVall,Drama Sci-Fi Thriller,the astronaut's wife
Hugh Hudson,Liam Aiken,Vincent Perez,Vincent Perez,Adventure Drama Romance,i dreamed of africa
Gabriele Muccino,Gerard Butler,Judy Greer,Judy Greer,Comedy Romance Sport,playing for keeps
Justin Chadwick,Terry Pheto,Tony Kgoroge,Tony Kgoroge,Biography Drama History,mandela: long walk to freedom
Warren Beatty,Paul Sorvino,M. Emmet Walsh,M. Emmet Walsh,Biography Drama History Romance,reds
Rob Reiner,Tom Cruise,Kevin Pollak,Kevin Pollak,Drama Thriller,a few good men
Andrzej Bartkowiak,Michael Jai White,Bruce McGill,Bruce McGill,Action Comedy Crime Drama Thriller,exit wounds
Raja Gosnell,Nia Long,Tichina Arnold,Tichina Arnold,Action Comedy Crime,big momma's house
Jeremy Degruson,Kyle Hebert,Joe Ochman,Joe Ochman,Adventure Animation Comedy Family Fantasy,thunder and the house of magic
Chris Gorak,Max Minghella,Dato Bakhtadze,Dato Bakhtadze,Action Adventure Horror Sci-Fi Thriller,the darkest hour
Scott Speer,Ryan Guzman,Misha Gabriel Hamilton,Misha Gabriel Hamilton,Drama Music Romance,step up revolution
David R. Ellis,Lin Shaye,Rachel Blanchard,Rachel Blanchard,Action Adventure Crime Drama Thriller,snakes on a plane
Joe Charbanic,Keanu Reeves,Chris Ellis,Chris Ellis,Crime Horror Mystery Thriller,the watcher
Jonathan Hensleigh,Laura Harring,Eddie Jemison,Eddie Jemison,Action Crime Drama Thriller,the punisher
Danny Cannon,Sean Pertwee,Stephen Dillane,Stephen Dillane,Drama Romance Sport,goal! the dream begins
Boaz Yakin,Jason Statham,Robert John Burke,Robert John Burke,Action Crime Thriller,safe
Mike Newell,Angelina Jolie Pitt,Jake Weber,Jake Weber,Comedy Drama Romance,pushing tin
Richard Marquand,Harrison Ford,Kenny Baker,Kenny Baker,Action Adventure Fantasy Sci-Fi,star wars: episode vi - return of the jedi
Neil Marshall,Ryan Kruger,Jeremy Crutchley,Jeremy Crutchley,Action Sci-Fi Thriller,doomsday
Stephen Daldry,Kate Winslet,Susanne Lothar,Susanne Lothar,Drama Romance,the reader
David Wain,Justin Theroux,Joe Lo Truglio,Joe Lo Truglio,Comedy,wanderlust
Jon Favreau,Peter Dinklage,Will Ferrell,Will Ferrell,Comedy Family Fantasy Romance,elf
Jon Turteltaub,Robert Duvall,David Gallagher,David Gallagher,Drama Fantasy Romance Sci-Fi,phenomenon
Brian Levant,James Coburn,M. Emmet Walsh,M. Emmet Walsh,Adventure Comedy Family Sport,snow dogs
Richard Donner,Bill Murray,Robert Mitchum,Robert Mitchum,Comedy Drama Fantasy,scrooged
Jared Hess,Ana de la Reguera,Héctor Jiménez,Héctor Jiménez,Comedy Family Sport,nacho libre
Paul Feig,Matt Lucas,Steve Bannos,Steve Bannos,Comedy Romance,bridesmaids
Evan Goldberg,Channing Tatum,Emma Watson,Emma Watson,Comedy Fantasy,this is the end
Rupert Wainwright,Nia Long,Portia de Rossi,Portia de Rossi,Horror,stigmata
George Tillman Jr.,Robert De Niro,Michael Rapaport,Michael Rapaport,Biography Drama,men of honor
John Luessenhop,Paul Walker,Jay Hernandez,Jay Hernandez,Action Crime Thriller,takers
Justin Zackham,Robin Williams,Topher Grace,Topher Grace,Comedy,the big wedding
John Whitesell,Brandon T. Jackson,Portia Doubleday,Portia Doubleday,Action Comedy Crime,"big mommas: like father, like son"
Duncan Jones,Jake Gyllenhaal,Russell Peters,Russell Peters,Mystery Sci-Fi Thriller,source code
Frank Marshall,Illeana Douglas,Michael DeLorenzo,Michael DeLorenzo,Adventure Biography Drama Thriller,alive
Joel Schumacher,Logan Lerman,Ed Lauter,Ed Lauter,Mystery Thriller,the number 23
Jean-Pierre Jeunet,Callum Rennie,Judy Davis,Judy Davis,Action Adventure Drama Family,the young and prodigious t.s. spivet
Steven Spielberg,Christopher Lee,Treat Williams,Treat Williams,Action Comedy War,1941
John Gatins,Ken Howard,Holmes Osborne,Holmes Osborne,Drama Family Sport,dreamer: inspired by a true story
David Cronenberg,Viggo Mortensen,William Hurt,William Hurt,Crime Drama Thriller,a history of violence
Louis Leterrier,Jason Statham,Matthew Modine,Matthew Modine,Action Crime Thriller,transporter 2
Sam Raimi,Leonardo DiCaprio,Roberts Blossom,Roberts Blossom,Action Thriller Western,the quick and the dead
Peter Howitt,Frances Fisher,Nora Dunn,Nora Dunn,Comedy Romance,laws of attraction
Martin Scorsese,Nicolas Cage,Sonja Sohn,Sonja Sohn,Drama Thriller,bringing out the dead
Miguel Sapochnik,Alice Braga,Yvette Nicole Brown,Yvette Nicole Brown,Action Crime Sci-Fi Thriller,repo men
Hyung-rae Shim,Robert Forster,Chris Mulkey,Chris Mulkey,Action Drama Fantasy Horror Thriller,dragon wars: d-war
